Feature,Spearman_rho,Pearson_r,Mutual_Info,Sig
C_Factor,0.632,0.276,0.5828,***
Slope,0.278,0.374,0.5968,***
LS_Factor,0.278,0.363,0.5937,***
Sand,-0.156,-0.038,0.0357,***
Vulnerability,0.14,0.391,0.23,***
K_Factor,0.116,-0.114,0.2005,***
Clay,0.115,0.009,0.0056,***
Silt,0.1,0.071,0.0021,***
SOC,-0.09,0.112,0.1357,***
Monsoon_Rainfall,0.071,0.215,0.2135,**
R_Factor,0.064,0.212,0.1977,**
TRI,0.061,0.299,0.1512,**
Annual_Rainfall,0.06,0.21,0.201,**
NDVI,-0.033,-0.052,0.0762,ns
P_Factor,0.01,0.272,0.3966,ns
